SID,DID,TID,VILL_CODE,C_CODE01,NAME,UID,CENSUS_COD,STATE,DISTRICT,SUB_DIST,TOWN_VILL,WARD,EB,LEVEL,NAME_1,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,ST_CODE,DIST_CODE,THSIL_CODE,BLOCK_CODE,V_CT_CODE,VILL_NAME,AREA,T_HH,T_P,T_M,T_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,EDU_FAC,P_SCH,RANG_P_SCH,M_SCH,RANG_M_SCH,S_SCH,S_S_SCH,COLLEGE,RANG_COLL,IND_SCH,TR_SCH,ADLT_LT_CT,OTH_SCH,MEDI_FAC,ALL_HOSP,RANG_ALL,AYU_HOSP,UN_HOSP,HOM_HOSP,ALL_DISP,AYU_DISP,UN_DISP,HOM_DISP,MCW_CNTR,RANG_MCW,M_HOME,CWC,H_CNTR,PH_CNTR,RANG_PHC,PHS_CNT,FWC_CNTR,TB_CLN,N_HOME,RMP,SMP,CHW,OTH_CNTR,DRNK_WAT_F,RANG_WAT_F,TAP,WELL,TANK,TUBEWELL,HANDPUMP,RIVER,CANAL,LAKE,SPRING,OTHER,SOU_SUMM,RANG_SS,SS_CODE,P_T_FAC,POST_OFF,RANG_PO,TELE_OFF,POST_TELE,PHONE,RANG_PHONE,COMM_FAC,BS_FAC,RANG_BS,RS_FAC,RANG_RS,NW_FAC,RANG_NW,BANK_FAC,COMM_BANK,RANG_COMM,COOP_BANK,RANG_COOP,CRSOC_FAC,AC_SOC,RANG_ACS,NAC_SOC,RANG_NAC,OTHER_SOC,RANG_OTH,RC_FAC,C_V_HALL,RANG_CV,SP_CL_FAC,RANG_SPCL,ST_AU_FAC,RANG_STAU,APP_PR,APP_MR,APP_FP,APP_NAVRIV,APP_NAVCAN,APP_NW,NEAR_TOWN,DIST_TOWN,POWER_SUPL,POWER_DOM,POWER_AGR,POWER_OTH,POWER_ALL,PAP_MAG,NEWS_PAP,MAGAZINE,A_INCEXP,TOT_INC,TOT_EXP,MAN_COMM1,MAN_COMM2,MAN_COMM3,LAND_FORES,CANAL_GOVT,CANAL_PVT,WELL_WO_EL,WELL_W_EL,TW_WO_EL,TW_W_EL,TANK_IRR,RIVER_IRR,LAKE_IRR,W_FALL,OTH_IRR,TOT_IRR,UN_IRR,CULT_WASTE,AREA_NA_CU
"28","17","0049","02141000","2817004902141000",Ananthavaram,"569856",2.82e+15,"28","17","49","2141000","0","0",VILLAGE,Ananthavaram,Rural,"834","3100","1559","1541","287","149","138","1210","607","603","216","109","107","2295","1215","1080","805","344","461","1542","965","577","731","542","189","189","187","2","375","215","160","1","0","1","166","140","26","811","423","388","28","15","13","714","364","350","0","0","0","69","44","25","1558","594","964","28","17","49","49","2141000",ANANTHAVARAM,"1030","834","3100","1559","1541","1210","607","603","216","109","107","1","3","0","1","0","1","0","0","3","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","2","1","0","0","0","3","0","0","0","1","0","2","2","2","2","1","2","2","2","2","2",,"0",,"1","1","0","0","0","70","0","1","1","0","2","2","0","1","2","0","2","0","2","1","0","1","1","0","0","3","2","0","2","0","2","0","3","1","2","2","2","2","2",TENALI,"19","1","0","0","0","1","1",N,M,"1","140000","132000",,,,0,878.16,"0",0,0,"0",12.54,0,0,"0","0","0",890.7,0,0,138
"28","17","0048","02139900","2817004802139900",Chadalawada,"569878",2.82e+15,"28","17","48","2139900","0","0",VILLAGE,Chadalawada,Rural,"794","2788","1399","1389","231","111","120","994","523","471","77","34","43","2012","1095","917","776","304","472","1465","832","633","1105","687","418","378","262","116","518","291","227","13","8","5","196","126","70","360","145","215","9","8","1","337","127","210","5","2","3","9","8","1","1323","567","756","28","17","48","48","2139900",CHADALAWADA,"716","794","2788","1399","1389","994","523","471","77","34","43","1","5","0","1","0","0","0","0","3","0","0","0","4","1","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","2","1","0","0","0","1","0","0","0","1","0","2","2","2","2","1","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","2","0","3","1","1","0","0","2","2","0","2","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",TENALI,"10","1","0","0","0","1","1",N,M,"2","0","0",,,,0,552.18,"0",0,0,"0",13.82,0,0,"0","0","0",566,20.64,0,126.77
"28","17","0049","02141100","2817004902141100",Chilumuru,"569887",2.82e+15,"28","17","49","2141100","0","0",VILLAGE,Chilumuru,Rural,"754","2989","1651","1338","282","141","141","822","428","394","12","7","5","1865","1115","750","1124","536","588","1612","925","687","1112","853","259","246","234","12","717","499","218","0","0","0","149","120","29","500","72","428","18","13","5","462","46","416","0","0","0","20","13","7","1377","726","651","28","17","49","49","2141100",CHILUMURU,"475","754","2989","1651","1338","822","428","394","12","7","5","1","4","0","0","1","0","1","0","3","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","2","1","0","0","0","1","0","0","0","1","0","2","2","2","2","1","2","2","2","2","2",,"0",,"1","1","0","0","0","33","0","1","1","0","2","3","1","0","2","0","1","0","3","1","0","1","0","2","2","0","2","0","2","0","2","0","3","1","2","2","1","2","2",TENALI,"20","1","0","0","0","1","1",N,M,"1","68904","88028",,,,0,170.78,"0",0,0,"0",161.87,0,0,"0","0","0",332.65,9.3,0,132.59
"28","17","0046","02137400","2817004602137400",Edlapalle,"569908",2.82e+15,"28","17","46","2137400","0","0",VILLAGE,Edlapalle,Rural,"2214","8277","4148","4129","981","518","463","1291","652","639","99","45","54","4589","2551","2038","3688","1597","2091","4263","2622","1641","4074","2563","1511","344","311","33","3055","1675","1380","43","27","16","632","550","82","189","59","130","7","4","3","153","35","118","8","5","3","21","15","6","4014","1526","2488","28","17","46","46","2137400",EDLAPALLE,"1580","2214","8277","4148","4129","1291","652","639","99","45","54","1","9","0","1","0","1","0","0","3","0","0","5","0","1","0","3","0","0","0","1","0","0","0","0","3","0","0","0","0","3","2","0","0","0","0","0","0","1","1","0","0","1","2","2","1","0","0","0","0","0",,"0",,"1","1","0","0","0","1","0","1","1","0","2","3","0","3","2","0","3","0","3","1","1","0","0","3","1","0","2","0","3","0","3","0","3","1","2","2","2","2","2",TENALI,"8","1","0","0","0","1","1",N,M,"2","0","0",,,,0,1040.45,"0",0,0,"0",346.81,0,0,"0","0","0",1387.26,0,10,182.44
"28","17","0049","02141200","2817004902141200",Ipur,"569909",2.82e+15,"28","17","49","2141200","0","0",VILLAGE,Ipur,Rural,"1094","4107","2067","2040","442","224","218","1723","868","855","40","20","20","2698","1411","1287","1409","656","753","2165","1300","865","2090","1282","808","331","303","28","1573","850","723","15","9","6","171","120","51","75","18","57","1","1","0","63","9","54","1","0","1","10","8","2","1942","767","1175","28","17","49","49","2141200",IPUR,"915","1094","4107","2067","2040","1723","868","855","40","20","20","1","5","0","1","0","0","0","0","3","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","2","2","2","2","1","2","2","2","2","2",,"0",,"1","1","0","0","0","86","0","1","1","0","2","3","1","0","2","0","1","0","2","1","1","0","0","2","4","0","2","0","2","0","2","0","3","1","2","2","1","2","2",TENALI,"17","1","0","0","0","1","1",N,M,"1","131099","162254",,,,0,247.27,"0",0,0,"0",337.91,0,0,"0","0","0",585.18,23.1,0,306.36
"28","17","0048","02140000","2817004802140000",Kuchallapadu,"569935",2.82e+15,"28","17","48","2140000","0","0",VILLAGE,Kuchallapadu,Rural,"682","2504","1283","1221","270","160","110","1240","636","604","10","4","6","1691","905","786","813","378","435","1434","777","657","942","713","229","256","248","8","607","414","193","26","9","17","53","42","11","492","64","428","7","2","5","481","61","420","2","0","2","2","1","1","1070","506","564","28","17","48","48","2140000",KUCHALLAPADU,"716","682","2504","1283","1221","1240","636","604","10","4","6","1","4","0","1","0","1","0","0","3","0","0","0","4","1","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","1","0","0","0","1","0","2","2","2","2","1","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","2","0","3","2","0","1","0","2","2","0","1","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",TENALI,"15","1","0","0","0","1","1",N,M,"2","0","0",,,,0,623.92,"0",0,0,"0",2.43,0,0,"0","0","0",626.35,1.21,0,88.38
"28","17","0048","02139800","2817004802139800",Jampani,"569939",2.82e+15,"28","17","48","2139800","0","0",VILLAGE,Jampani,Rural,"2190","7977","3990","3987","860","418","442","2438","1227","1211","153","83","70","4939","2654","2285","3038","1336","1702","3766","2514","1252","2784","2131","653","437","395","42","1293","767","526","12","6","6","1042","963","79","982","383","599","42","35","7","814","258","556","15","5","10","111","85","26","4211","1476","2735","28","17","48","48","2139800",JAMPANI,"2049","2190","7977","3990","3987","2438","1227","1211","153","83","70","1","8","0","2","0","1","0","0","3","0","0","0","0","1","0","3","0","0","0","0","1","0","0","0","3","0","0","0","0","1","3","0","0","0","1","0","0","0","1","0","1","1","2","2","1","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","1","0","0","3","1","1","0","0","1","1","1","0","0","3","0","3","1","1","0","0","3","0","3","1","2","2","2","2","2",TENALI,"10","1","0","0","0","1","1",N,M,"2","0","0",SUGAR.,,,0,1635.86,"0",0,0,"0",148.64,0,0,"0","0","0",1784.5,30.67,21.04,212.32
"28","17","0049","02141300","2817004902141300",Gajullanka,"569951",2.82e+15,"28","17","49","2141300","0","0",VILLAGE,Gajullanka,Rural,"926","3527","1825","1702","365","201","164","298","161","137","14","6","8","2267","1217","1050","1260","608","652","2038","1201","837","1464","1099","365","607","461","146","564","386","178","21","10","11","272","242","30","574","102","472","6","4","2","538","80","458","6","0","6","24","18","6","1489","624","865","28","17","49","49","2141300",GAJULLANKA,"881","926","3527","1825","1702","298","161","137","14","6","8","1","4","0","0","1","0","0","0","3","0","0","0","3","1","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","1","1","0","0","0","2","0","0","0","1","0","2","2","2","2","1","2","2","2","2","2",,"0",,"1","1","0","0","0","36","0","1","1","0","2","3","1","0","2","0","1","0","3","1","1","0","1","0","1","0","2","0","1","0","1","0","3","1","2","2","1","2","2",TENALI,"24","1","0","0","0","1","1",N,M,"1","13448","145506",BRICKS,,,0,0,"0",0,0,"0",496.14,0,0,"0","0","0",496.14,86.53,0,297.85
"28","17","0046","02137500","2817004602137500",Chinaparimi,"569962",2.82e+15,"28","17","46","2137500","0","0",VILLAGE,Chinaparimi,Rural,"980","3553","1744","1809","358","179","179","1120","548","572","159","75","84","2280","1206","1074","1273","538","735","1862","1143","719","1760","1124","636","486","406","80","978","517","461","15","13","2","281","188","93","102","19","83","3","1","2","95","16","79","2","0","2","2","2","0","1691","601","1090","28","17","46","46","2137500",CHINAPARIMI,"534","980","3553","1744","1809","1120","548","572","159","75","84","1","4","0","1","0","1","0","0","3","0","0","0","0","1","0","3","0","0","0","0","1","0","0","0","3","0","0","0","0","3","1","0","0","0","2","0","0","0","1","0","2","2","1","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","3","0","3","2","0","3","0","3","2","0","3","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",TENALI,"8","1","0","0","0","1","1",N,M,"2","0","0",,,,0,458.91,"0",0,0,"0",0,0,0,"0","0","0",458.91,2.02,0,73
"28","17","0049","02141400","2817004902141400",Pedalanka,"569974",2.82e+15,"28","17","49","2141400","0","0",VILLAGE,Pedalanka,Rural,"1085","4282","2219","2063","515","267","248","1030","536","494","0","0","0","2398","1349","1049","1884","870","1014","2481","1488","993","2259","1440","819","724","538","186","1220","700","520","4","2","2","311","200","111","222","48","174","107","21","86","83","15","68","0","0","0","32","12","20","1801","731","1070","28","17","49","49","2141400",PEDALANKA,"760","1085","4282","2219","2063","1030","536","494","0","0","0","1","4","0","0","1","0","0","0","3","0","0","0","5","1","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","1","1","0","0","0","2","0","0","0","1","0","2","2","2","2","1","2","2","2","2","2",,"0",,"1","0","1","0","0","24","0","1","1","0","2","3","1","0","2","0","1","0","3","2","0","1","0","1","0","3","2","0","1","0","1","0","3","1","2","2","1","2","2",TENALI,"24","1","0","0","0","1","1",N,M,"1","364203","426869",BRICKS,,,0,0,"0",0,0,"0",266.28,0,0,"0","0","0",266.28,57.04,0,436.25
